iata_code,latitude,longitude
ANA,-1.26967,34.9532
ANB,33.588167,-85.858111
ANC,61.174361,-149.996361
ANE,47.56254,-0.31268
ANF,-23.444478,-70.4451
ANG,45.729,0.219
ANI,61.58,-159.5
ANJ,-2.8472,13.82179
ANK,39.94983,32.68862
ANL,-11.5,16.75
ANM,-14.99941,50.32023
ANN,55.04244,-131.57223
ANP,38.98,-76.5
ANQ,41.63,-85
ANR,51.18944,4.46028
ANS,-13.70641,-73.35038
ANU,17.13675,-61.79267
ANV,62.64639,-160.19056
ANW,42.58,-99.98
ANX,69.2925,16.144167
ANY,37.15,-98.03
AOC,50.981817,12.506361
AOE,39.8099,30.5194
AOG,41.1053,122.854
AOH,40.72,-84.1
AOI,43.61634,13.36232
AOJ,40.73472,140.69083
AOK,35.42141,27.14601
AOL,-29.68942,-57.15208
AOO,40.296372,-78.320022
AOP,-2.79671,-76.46562
AOR,6.189667,100.398183
AOS,57.47161,-153.81542
AOT,45.7385,7.36872
APA,39.57,-104.8
APB,-14.72,-68.5
APC,38.21297,-122.28164
APF,26.15,-81.77
API,4.076069,-73.562731
APK,-15.5736,-146.41499
APL,-15.105611,39.2818
APN,45.078068,-83.560287
APO,7.81196,-76.71643
APQ,-9.75,-36.65
APR,-4.6746,142.5399
APS,-16.22915,-48.96427
APT,35.0598,-85.58468
APU,-23.55,-51.48
APV,34.52,-117.2
APW,-13.82997,-172.00834
APX,-23.38,-51.95
APZ,-38.9755,-70.113581
AQA,-21.812,-48.133
AQB,15.0122,-91.1506
AQG,30.5822,117.05
AQI,28.33556,46.12472
AQJ,29.61162,35.01807
AQP,-16.34361,-71.56863
ARA,30,-91.82
ARB,42.22282,-83.7455
ARC,68.12,-145.6
ARD,-8.13234,124.597
ARE,18.45,-66.67
ARF,0.68972,-70.23843
ARG,36.12535,-90.92456
ARH,64.59828,40.71276
ARI,-18.34853,-70.33874
ARJ,-2.93333,140.78334
ARK,-3.367794,36.633333
ARL,11.58,1.25
ARM,-30.528056,151.617222
ARN,59.651944,17.918611
ARQ,7.033,-71.43
ART,43.991922,-76.021739
ARU,-21.1413,-50.4247
ARV,45.92,-89.73
ARW,46.17655,21.262022
ARY,-37.309444,142.988611
ASA,13.071783,42.645006
ASB,37.98681,58.36097
ASC,-15.93292,-63.1554
ASD,24.69756,-77.79316
ASE,39.22304,-106.86921
ASF,46.28333,48.00639
ASH,42.78,-71.52
ASI,-7.933,-14.42
ASJ,28.43063,129.71254
ASK,6.903167,-5.365581
ASL,32.55,-94.38
ASM,15.291853,38.910667
ASN,33.43,-86.1
ASP,-23.80364,133.90038
ASQ,39.5,-117.1
ASR,38.77039,35.49543
ASS,-24.7406,31.51814
ASU,-25.23985,-57.51913
ASV,-2.64505,37.2531
ASW,23.96436,32.81998
ASX,46.55,-90.92
ASY,46.02668,-99.35499
ATA,-9.347444,-77.598392
ATB,17.70996,34.05702
ATC,24.629,-75.67306
ATE,34.23,-95.62
ATF,-1.212067,-78.574636
ATG,33.86861,72.40306
ATH,37.936358,23.944467
ATI,-30.42,-56.52
ATJ,-19.83478,47.06697
ATK,70.47,-157.3
ATL,33.64099,-84.42265
ATM,-3.253906,-52.253978
ATN,-3.67005,152.43826
ATO,39.2117,-82.22284
ATP,-3.14197,142.34608
ATQ,31.70959,74.79726
ATR,20.506828,-13.043194
ATS,32.85,-104.5
ATT,60.86675,-162.27314
ATV,13.23,18.32
ATW,44.27,-88.52
ATX,51.88,68.4
ATY,44.913981,-97.154719
ATZ,27.04651,31.01198
AUA,12.50385,-70.0078
AUB,-11.07393,-55.28136
AUC,7.068881,-70.736925
AUF,47.850193,3.497111
AUG,44.3205,-69.79721
AUH,24.432972,54.651138
AUI,-1.46317,143.06525
AUJ,-4.21614,142.82338
AUK,62.68,-164.6
AUM,43.67,-92.93
AUN,38.9,-121.1
AUO,32.62,-85.43
AUP,-9.92775,149.38848
AUQ,-9.76578,-139.00907
AUR,44.89139,2.42194
AUS,30.19453,-97.66987
AUT,-8.21052,125.616
AUU,-13.3539,141.72099
AUV,-5.7292,148.44671
AUW,44.9258,-89.6254
AUX,-7.22787,-48.2405
AUY,-20.2492,169.771
AVA,26.2594,105.87284
AVB,46.031889,12.596472
AVI,22.02705,-78.78962
AVL,35.436194,-82.541806
AVN,43.9073,4.901831
AVP,41.33869,-75.72353
AVR,38.88375,-9.02947
AVV,-38.039444,144.469444
AVW,32.4,-111.2
AVX,33.34419,-118.32018
AWA,7.06667,38.5
AWB,-8.01402,142.75206
AWD,-19.23728,169.60093
AWK,19.28109,166.64344
AWM,35.13,-90.18
AWR,-4.11945,144.85418
AWZ,31.33743,48.76195
AXA,18.20483,-63.05508
AXC,-23.08,145.3
AXD,40.85587,25.95626
AXF,38.82286,105.62616
AXG,43.07,-94.23
AXJ,32.48225,130.15893
AXK,14.55132,46.82618
AXM,4.452775,-75.766447
AXN,45.866297,-95.394669
AXP,22.4418,-73.9709
AXR,-15.23592,-146.6531
AXS,34.69812,-99.3387
AXT,39.61556,140.21861
AXU,14.14675,38.77283
AXV,40.57,-84.18
AYK,50.32,66.97
AYM,24.46682,54.6102
AYN,36.1339,114.344
AYO,-27.3723,-56.85382
AYP,-13.15482,-74.20442
AYQ,-25.1891,130.97754
AYR,-19.584444,147.329167
AYS,31.25,-82.4
AYT,36.898731,30.800461
AYU,-6.33786,145.90402
AZA,33.30664,-111.66793
AZD,31.904908,54.276503
AZG,19.09306,-102.39601
AZI,24.428333,54.458084
AZO,42.234875,-85.552058
AZP,19.57378,-99.29091
AZR,27.83759,-0.18641
AZS,19.26918,-69.73726
AZZ,-7.883,13.15
BAA,-5.33058,151.00794
BAB,39.14611,-121.43138
BAD,32.50182,-93.662674
BAE,44.38718,6.60879
BAG,16.375103,120.619636
BAH,26.27083,50.63361
BAI,9.16361,-83.3299
BAL,37.928969,41.116583
BAM,40.63,-116.9
BAN,-4.167,20.33
BAQ,10.889589,-74.780819
BAR,19.13969,110.45577
BAS,-6.98913,155.88758
BAT,-20.5845,-48.5941
BAV,40.56,109.997
BAX,53.363775,83.538533
BAY,47.658389,23.470022
BAZ,-0.98132,-62.91897
BBA,-45.916058,-71.689475
BBB,45.32,-95.6
BBD,31.13,-99.33
BBE,-27.35,117.66667
BBG,3.0853,172.80857
BBH,54.3381,12.71573
BBI,20.24436,85.81778
BBJ,49.9447,6.56407
BBK,-17.832875,25.1624
BBL,-27.39995,141.81262
BBN,3.73389,115.479
BBO,10.389167,44.941106
BBP,50.68,-1.083
BBQ,17.63609,-61.82633
BBS,51.323889,-0.8475
BBU,44.50319,26.10211
BBV,4.68764,-7.07674
BBW,41.4,-99.63
BBX,40.13467,-75.26497
BBY,5.85,20.63
BBZ,-13.53,23.12
BCA,20.36532,-74.50621
BCB,37.20618,-80.40785
BCD,10.77614,123.01907
BCF,6.51665,18.27267
BCH,-8.48555,126.39939
BCI,-23.565278,145.306667
BCL,10.7687,-83.5856
BCM,46.52195,26.91028
BCN,41.297078,2.078464
BCQ,27.65472,14.26549
BCT,26.37,-80.12
BCU,10.32,9.833
BCV,17.26968,-88.77691
BCX,53.93,58.33
BCZ,-13.78219,136.2043
BDA,32.36404,-64.6787
BDB,-24.903889,152.318611
BDE,48.728444,-94.612222
BDG,37.58,-109.5
BDJ,-3.44176,114.75859
BDK,8.033,-2.8
BDL,41.93798,-72.68782
BDO,-6.9,107.58333
BDP,26.57,88.08
BDQ,22.3362,73.2263
BDR,41.163472,-73.126167
BDS,40.65763,17.94703
BDT,4.253206,20.975283
BDU,69.055758,18.540356
BDV,-7.083,29.73
BDX,45.47205,-105.46469
BDY,43.08658,-124.40879
BEC,37.69,-97.21
BED,42.46982,-71.28839
BEE,-17.01619,122.64715
BEF,11.99096,-83.77409
BEG,44.81844,20.30914
BEJ,2.1555,117.432
BEL,-1.37925,-48.47629
BEN,32.09679,20.26947
BEO,-33.03,151.7
BEP,15.162783,76.882775
BEQ,52.342611,0.772939
BER,52.36213,13.50168
BES,48.447911,-4.418539
BET,60.779778,-161.838
BEU,-24.346111,139.460278
BEV,31.287003,34.722953
BEW,-19.796419,34.907556
BEX,51.61639,-1.09583
BEY,33.820931,35.488389
BFC,-15.9,145.3
BFD,41.803067,-78.640122
BFE,52.03,8.533
BFF,41.874028,-103.595639
BFH,-25.405078,-49.232036
BFI,47.53,-122.301947
BFJ,27.30036,105.30159
BFK,39.7056,-104.75507
BFL,35.433598,-119.05677
BFM,30.626783,-88.068092
BFN,-29.09272,26.30244
BFO,-21.00808,31.57855
BFQ,7.58465,-78.18105
BFR,38.85,-86.48
BFS,54.6575,-6.21583
BFT,32.41074,-80.63427
BFU,32.84888,117.31879
BFW,35.17216,-0.59481
BFX,5.536919,10.354583
BGA,7.1265,-73.184778
BGD,35.65,-101.4
BGE,30.9,-84.6
BGF,4.398475,18.518786
BGG,38.8608,40.5922
BGI,13.074603,-59.492456
BGK,16.52187,-88.41333
BGM,42.208689,-75.979839
BGN,68.55712,146.23352
BGO,60.293386,5.218142
BGQ,61.53,-149.8
BGR,44.807444,-68.828139
BGS,32.21556,-101.5225
BGT,34.5948,-113.16889
BGW,33.2585,44.23285
BGY,45.67389,9.70417
BGZ,41.58,-8.45
BHB,44.45,-68.37
BHD,54.61806,-5.8725
BHE,-41.518333,173.870278
BHG,15.83,-84.83
BHI,-38.72868,-62.15301
BHJ,23.287828,69.670147
BHK,39.76629,64.47988
BHL,28.97631,-113.56018
BHM,33.56166,-86.75254
BHO,23.28747,77.33738
BHP,27.17,87.05
BHQ,-32.0014,141.472
BHR,27.67863,84.42749
BHS,-33.409444,149.651944
BHU,21.75221,72.18518
BHW,32.06294,72.51698
BHX,52.45386,-1.74803
BHY,21.5394,109.294
BIA,42.552664,9.483731
BIB,3.10222,43.6286
BID,41.17,-71.58
BIE,40.32,-96.75
BIF,31.849528,-106.380039
BIG,63.994547,-145.721642
BIH,37.37437,-118.36789
BIK,-1.19002,136.108
BIL,45.807667,-108.542889
BIM,25.69988,-79.26466
BIO,43.301097,-2.910608
BIQ,43.468419,-1.523325
BIR,26.48229,87.26496
BIS,46.772733,-100.745739
BIV,6.533,21.98
BJC,39.91161,-105.11689
BJF,70.60201,29.69416
BJG,-5.117,119.4
BJH,29.55,81.25
BJI,47.52,-94.93
BJJ,40.8,-81.93
BJK,-6.0662,134.274
BJL,13.337961,-16.652206
BJM,-3.324019,29.318519
BJO,-22.773336,-64.312881
BJP,-22.97815,-46.53774
BJR,11.60808,37.32164
BJT,6.41932,79.99429
BJV,37.250611,27.664311
BJW,-8.81337,120.99865
BJX,20.99346,-101.48085
BJY,44.82,20.3
BJZ,38.89125,-6.821333
BKA,55.6172,38.06
BKC,65.97995,-161.1393
BKD,32.72014,-98.89279
BKF,58.55404,-155.77611
BKH,22.022833,-159.785
BKI,5.937208,116.051181
BKK,13.69152,100.75089
BKL,41.5175,-81.683333
BKN,39.48152,54.36275
BKO,12.533544,-7.949944
BKQ,-24.427778,145.428611
BKR,12.38356,17.0684
BKS,-3.8637,102.339036
BKT,37.07,-77.96
BKU,-23.73087,44.38803
BKW,37.787328,-81.124164
BKX,44.3,-96.82
BKY,-2.308978,28.808803
BKZ,-1.3,31.8
BLA,10.107139,-64.689161
BLC,5.89548,10.03395
BLD,35.98,-114.8
BLE,60.42843,15.50514
BLF,37.3,-81.2
BLG,2.65,113.8
BLH,33.62,-114.7
BLI,48.792694,-122.537528
BLJ,35.75211,6.30859
BLK,53.771667,-3.028611
BLL,55.740322,9.151778
BLM,40.19011,-74.12959
BLN,-36.55,146
BLP,-12.02,-77.13
BLQ,44.53544,11.28867
BLR,13.20071,77.70879
BLS,-28.03,147.4
BLT,-23.603056,148.806944
BLW,21.35754,-157.71552
BLX,46.16667,12.24861
BLY,54.23,-10
BLZ,-15.67905,34.97401
BMA,59.35437,17.94165
BMB,2.18278,22.4817
BMC,41.55239,-112.06226
BMD,-19.68656,44.54214
BME,-17.944722,122.231667
BMF,5.733,22.8
BMG,39.146022,-86.616683
BMI,40.48299,-88.91395
BMJ,5.433,-58.55
BMK,53.5955,6.709167
BMM,2.07811,11.49056
BMO,24.26833,97.24874
BMQ,-3.98191,39.73077
BMR,53.73,7.389
BMS,-14.22,-41.67
BMT,30.07,-94.22
BMU,-8.467,118.7
BMV,12.6683,108.12
BMW,21.375,0.92389
BMX,59.362,-155.25347
BMY,-19.7206,163.661
BNA,36.124472,-86.678194
BNB,-0.28637,20.88492
BNC,0.57688,29.46982
BND,27.21832,56.37785
BNE,-27.384167,153.1175
BNG,33.93,-116.9
BNH,41.74,-72.65
BNI,6.316981,5.599503
BNK,-28.833889,153.5625
BNL,33.25955,-81.38083
BNN,65.46111,12.2175
BNO,43.58,-119
BNP,32.97194,70.52417
BNR,10.68945,-4.72743
BNS,8.619575,-70.220825
BNU,-26.93,-49.05
BNW,42.07,-93.88
BNX,44.93357,17.29969
BNY,-11.30247,159.79887
BNZ,-5.78424,144.55716
BOA,-5.817,13.07
BOB,-16.44438,-151.75129
BOC,9.34085,-82.25084
BOD,44.82834,-0.71556
BOE,-1.033,15.38
BOF,38.84,-77.02
BOG,4.70159,-74.14695
BOH,50.78,-1.8425
BOI,43.56683,-116.22321
BOJ,42.569583,27.515236
BOK,42.05,-124.3
BOL,52.42,-1.5
BOM,19.08869,72.86792
BON,12.13104,-68.26851
BOO,67.26917,14.36528
BOP,5.95969,15.63758
BOS,42.36514,-71.01777
BOT,-7.23766,141.10711
BOU,47.058056,2.370278
BOW,27.93,-81.78
BOX,-16.075278,136.302222
BOZ,6.317,16.38
BPA,40.74454,-73.49207
BPC,6.039239,10.122639
BPE,39.66273,119.05807
BPG,-15.86134,-52.38889
BPH,8.19781,126.32458
BPK,-5.52629,141.74458
BPL,44.8954,82.3003
BPM,17.45312,78.46759
BPN,-1.26827,116.894
BPS,-16.438639,-39.080917
BPT,29.95077,-94.02073
BPX,30.5536,97.1083
BPY,-16.73333,44.46667
BQA,15.7312,121.5022
BQB,-33.68707,115.40116
BQE,11.29736,-15.83808
BQH,51.33083,0.0325
BQI,-18.11818,21.62408
BQJ,67.64875,134.69496
BQK,31.258808,-81.466497
BQL,-22.913333,139.899722
BQN,18.494861,-67.129444
BQO,9.267,-3
BQQ,-11.07,-43.17
BQT,52.10833,23.89667
BQU,13,-61.27
BQV,58.45533,-135.88499
BQW,-20.14915,127.97506
BRA,-12.05,-45
BRB,-2.75663,-42.80591
BRC,-41.15117,-71.15754
BRE,53.0475,8.786667
BRI,41.13697,16.76188
BRK,-30.039167,145.951667
BRL,40.783226,-91.125506
BRM,10.04275,-69.35862
BRN,46.9141,7.497153
BRO,25.906833,-97.425861
BRQ,49.151269,16.694433
BRR,57.02534,-7.44958
BRS,51.38267,-2.71909
BRT,-11.76822,130.61779
BRU,50.90139,4.48444
BRV,53.50765,8.57251
BRW,71.28528,-156.76583
BRX,18.25146,-71.1204
BRY,37.82,-85.47
BSA,11.2753,49.1494
BSB,-15.8711,-47.91862
BSD,25.05427,99.16577
BSE,1.8,109.8
BSG,1.905469,9.805681
BSJ,-37.8875,147.567778
BSK,34.793289,5.738231
BSL,47.58958,7.52991
BSN,6.5,17.43
BSO,20.451322,121.979883
BSQ,31.35,-109.9
BSR,30.55218,47.66386
BSS,-7.5,-46.03
BST,31.56054,64.36489
BSU,1.217,19.8
BSW,60.4,-146.1
BSX,16.8152,94.7799
BSY,2.33082,42.3114
BTA,4.583,13.68
BTC,7.70576,81.67878
BTE,7.517,-12.5
BTF,40.86939,-111.92716
BTG,7.3,18.3
BTH,1.12062,104.11529
BTJ,5.52352,95.42037
BTL,42.307278,-85.251481
BTM,45.954806,-112.497472
BTN,34.62138,-79.73358
BTO,4.21802,-55.44645
BTP,40.77645,-79.9495
BTQ,-2.59558,29.73424
BTR,30.53297,-91.14955
BTS,48.17017,17.21267
BTT,66.913944,-151.529056
BTU,3.12385,113.02047
BTV,44.471861,-73.153278
BTW,-3.41241,115.995
BTX,-25.63,140.8
BTY,36.9,-116.8
BUA,-5.42232,154.673
BUB,41.77669,-99.14975
BUC,-17.748611,139.534444
BUD,47.43693,19.25559
BUF,42.94034,-78.7317
BUG,-12.609025,13.403711
BUI,-3.65057,138.56352
BUJ,35.3325,4.206389
BUL,-7.21505,146.64877
BUM,38.29027,-94.33994
BUN,3.819628,-76.989767
BUO,9.517,45.57
BUP,30.2701,74.7558
BUQ,-20.017431,28.617869
BUR,34.20056,-118.35925
BUS,41.6103,41.5997
BUT,27.56299,90.74651
BUW,-5.48707,122.56901
BUX,1.565719,30.220833
BUY,-33.32,115.6
BVA,49.45444,2.11278
BVB,2.846311,-60.690069
BVC,16.13624,-22.8889
BVE,45.04151,1.48646
BVF,-16.85958,178.62259
BVG,70.871,29.02944
BVH,-12.694375,-60.098269
BVI,-25.97,139.3
BVL,-13.58,-63.62
BVM,-15.85,-38.9
BVO,36.77,-96
BVS,-1.667,-50.47
BVU,65.17,-152.1
BVV,44.92248,147.61861
BVX,35.77,-91.65
BVY,42.584167,-70.916528
BWC,32.98,-115.5
BWE,52.31917,10.55611
BWF,54.13117,-3.26367
BWG,36.964517,-86.419681
BWH,5.3,100.3
BWI,39.17539,-76.66802
BWL,36.8,-97.28
BWN,4.9442,114.928353
BWO,51.8583,47.7456
BWQ,-29.97,146.8
BWT,-41,145.7
BWU,-33.924444,150.988333
BWW,22.62118,-79.14697
BWX,-8.30998,114.34017
BXA,30.78,-89.87
BXB,-2.53224,133.439
BXE,14.847256,-12.468264
BXG,-36.73815,144.32899
BXI,9.517,-6.483
BXK,33.37,-112.6
BXL,-16.9486,177.38161
BXN,37.14014,27.66972
BXO,46.97,8.433
BXR,29.084169,58.450042
BXS,33.25,-116.3
BXT,0.1333,117.5
BXU,8.951322,125.477972
BXW,-5.72373,112.67913
BXX,9.94573,43.15078
BXY,45.62352,63.21379
BYB,25.61415,56.24519
BYC,-21.96092,-63.65167
BYF,49.97157,2.69839
BYG,44.35,-106.7
BYH,35.95967,-89.95082
BYI,42.53,-113.8
BYJ,38.0789,-7.9324
BYM,20.39717,-76.61908
BYN,46.1633,100.704
BYO,-21.24402,-56.45007
BYP,-22.67433,119.16553
BYQ,3.467,117.9
BYR,57.27709,10.9998
BYS,35.28,-116.6
BYT,51.68,-9.45
BYU,49.984428,11.638569
BYV,6.92871,79.85505
BZA,13.95,-84.6
BZC,-22.771,-41.9629
BZD,-34.63,143.6
BZE,17.53914,-88.3082
BZF,40.58,-122.4
BZG,53.0968,17.9777
BZK,53.214194,34.176447
BZL,22.801,90.3012
BZN,45.777464,-111.152981
BZO,46.46019,11.32638
BZR,43.32215,3.35319
BZV,-4.2517,15.253031
BZZ,51.75,-1.58333
CAA,14.87586,-85.77361
CAB,-5.596992,12.188353
CAC,-25.000339,-53.500764
CAD,44.27,-85.42
CAE,33.938833,-81.119528
CAF,-4.9,-66.92
CAG,39.251469,9.054283
CAI,30.121944,31.405556
CAJ,6.231989,-62.854433
CAK,40.91617,-81.44234
CAL,55.42,-5.6
CAM,-20.00917,-63.52651
CAN,23.39244,113.29879
CAO,36.45,-103.2
CAP,19.73299,-72.19474
CAQ,7.6,-75.25
CAR,46.8715,-68.017917
CAS,33.55431,-7.66228
CAT,38.7225,-9.35424
CAU,-8.283,-35.97
CAV,-11.88,22.93
CAW,-21.69833,-41.30167
CAX,54.9375,-2.809167
CAY,4.819808,-52.360447
CAZ,-31.538333,145.793889
CBB,-17.421058,-66.177114
CBE,39.61509,-78.76168
CBF,41.27,-95.87
CBG,52.205,0.175
CBI,-40.39016,148.01803
CBJ,17.92861,-71.64361
CBK,39.42,-101.1
CBL,8.1219,-63.53735
CBM,33.64383,-88.44383
CBN,-6.7548,108.5408
CBO,7.2,124.2
CBP,40.15,-8.467
CBQ,4.976019,8.347197
CBR,-35.306944,149.195
CBS,10.33075,-71.31925
CBT,-12.45,13.48
CBU,51.72,14.35
CBX,-33.064444,147.209167
CCA,35.30367,-94.32602
CCB,34.08,-117.6
CCC,22.46133,-78.32733
CCE,18.10019,-63.04755
CCF,43.215978,2.306317
CCH,-46.57997,-71.69076
CCJ,11.1368,75.9553
CCL,-26.78,150.6
CCP,-36.77265,-73.06311
CCR,37.98937,-122.05802
CCS,10.60046,-66.99811
CCT,-37.9102,-67.835
CCU,22.65474,88.44672
CCV,-16.265,167.924
CCW,-33.67,136.9
CCZ,25.41723,-77.88161
CDB,55.206061,-162.725436
CDC,37.700967,-113.098847
CDD,15.32,-83.6
CDE,41.12243,118.07402
CDG,49.01278,2.55
CDH,33.62261,-92.76322
CDI,-20.8343,-41.1856
CDJ,-8.34835,-49.30153
CDK,29.13,-83.03
CDN,34.27,-80.6
CDP,14.509961,78.772833
CDQ,-18.3,142.3
CDR,42.83,-103.1
CDS,34.42,-100.2
CDT,40.2097,0.06972
CDU,-34.040278,150.687222
CDV,60.491778,-145.477556
CDW,40.8751,-74.2807
CEA,37.6486,-97.2506
CEB,10.3085,123.98028
CEC,41.780158,-124.236533
CED,-32.12489,133.70151
CEE,59.28,38.07
CEF,42.19317,-72.53603
CEG,53.178056,-2.977778
CEH,-10.55688,33.79875
CEI,19.952342,99.882928
CEK,55.30584,61.50333
CEL,24.79141,-76.29919
CEM,65.57,-144.8
CEN,27.39278,-109.83306
CEO,-11.42644,15.10122
CEP,-16.1398,-62.02799
CEQ,43.54205,6.953478
CER,49.65011,-1.47028
CES,-32.7875,151.341667
CET,47.082,-0.877
